id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
2488,VinFast,VF8,VF8 LUX PLUS,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Lê Ngọc Quế,2026-05-19,bonbanh.com,435000000.0
2489,VinFast,LIMO,LIMO,2025.0,New,0.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Nhập khẩu,Đỏ,Quận 2 TP HCM,Phú Mỹ Ford,2026-05-19,bonbanh.com,1699000000.0
2490,VinFast,VF5,VF5 Plus,2025.0,Used,28000.0,True,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Trắng,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,579000000.0
2491,VinFast,VF3,VF3,2025.0,Used,16800.0,True,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Trắng,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,579000000.0
2492,VinFast,VF9,VF9,2023.0,Used,52960.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Trắng,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,579000000.0
2493,VinFast,VF8,VF8 Plus,2023.0,Used,55000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,704000000.0
2494,VinFast,VF5,VF5,2023.0,Used,50000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Trắng,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,579000000.0
2495,VinFast,MPV 7,MPV 7,2023.0,Used,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinh Quang,2026-05-19,bonbanh.com,586000000.0
2496,VinFast,VF3,VF3,2023.0,Used,49006.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đen,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,634000000.0
2497,VinFast,VF6,VF6 Eco,2025.0,New,0.0,False,MPV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Nguyễn thị Huế,2026-05-19,bonbanh.com,769000000.0
